,type,genotype,N,mean,sd,se,gene,log2Mean,lineGroup
119,Cmbr,wt,6,27.79802837,15.08703993,6.159258261,Solyc01g006940,4.796910655,wt.Solyc01g006940
120,Cother,tf2,4,62.91036438,43.76033483,21.88016741,Solyc01g006940,5.975225813,tf2.Solyc01g006940
121,Cother,wt,3,37.36225973,17.05009504,9.843876964,Solyc01g006940,5.223509809,wt.Solyc01g006940
122,Ambr,tf2,4,7.369999306,7.447643105,3.723821552,Solyc01g007890,2.881664483,tf2.Solyc01g007890
123,Ambr,wt,3,4.578040417,2.49358684,1.439673033,Solyc01g007890,2.1947302,wt.Solyc01g007890
124,Aother,tf2,4,4.993614067,3.906061615,1.953030808,Solyc01g007890,2.320084327,tf2.Solyc01g007890
125,Aother,wt,5,5.944777866,3.558502333,1.591410623,Solyc01g007890,2.571622903,wt.Solyc01g007890
126,Bmbr,tf2,3,3.043533023,2.447896186,1.413293522,Solyc01g007890,1.605747019,tf2.Solyc01g007890
127,Bmbr,wt,4,2.782173776,1.519158391,0.759579195,Solyc01g007890,1.476212534,wt.Solyc01g007890
128,Bother,tf2,4,7.115369386,0.730814299,0.365407149,Solyc01g007890,2.830938654,tf2.Solyc01g007890
129,Bother,wt,4,7.538299644,8.97224089,4.486120445,Solyc01g007890,2.914239143,wt.Solyc01g007890
130,Cmbr,tf2,4,2.699927958,1.291784307,0.645892153,Solyc01g007890,1.432920912,tf2.Solyc01g007890
131,Cmbr,wt,6,1.096640118,1.136257332,0.463875113,Solyc01g007890,0.133090157,wt.Solyc01g007890
132,Cother,tf2,4,8.40485594,7.408193889,3.704096944,Solyc01g007890,3.071223092,tf2.Solyc01g007890
133,Cother,wt,3,5.632836036,3.32396179,1.919090234,Solyc01g007890,2.493861477,wt.Solyc01g007890
134,Ambr,tf2,4,40.24663984,21.49288765,10.74644382,Solyc01g008170,5.330796434,tf2.Solyc01g008170
135,Ambr,wt,3,39.47910647,10.40649701,6.008193848,Solyc01g008170,5.303017432,wt.Solyc01g008170
136,Aother,tf2,4,32.77250617,12.31226192,6.156130958,Solyc01g008170,5.034414097,tf2.Solyc01g008170
137,Aother,wt,5,36.70390325,6.557671458,2.932679831,Solyc01g008170,5.197861588,wt.Solyc01g008170
138,Bmbr,tf2,3,30.58190018,27.24076568,15.7274634,Solyc01g008170,4.934606145,tf2.Solyc01g008170
139,Bmbr,wt,4,48.57763058,7.37853936,3.68926968,Solyc01g008170,5.602220218,wt.Solyc01g008170
140,Bother,tf2,4,41.14352753,9.176123672,4.588061836,Solyc01g008170,5.362593587,tf2.Solyc01g008170
141,Bother,wt,4,20.71473775,9.051539487,4.525769743,Solyc01g008170,4.372585651,wt.Solyc01g008170
142,Cmbr,tf2,4,33.56625613,21.4973936,10.7486968,Solyc01g008170,5.068939727,tf2.Solyc01g008170
143,Cmbr,wt,6,39.88593002,15.03208832,6.136824359,Solyc01g008170,5.317808013,wt.Solyc01g008170
144,Cother,tf2,4,36.29402858,20.92000767,10.46000383,Solyc01g008170,5.181660297,tf2.Solyc01g008170
145,Cother,wt,3,41.66968849,14.55604099,8.403934186,Solyc01g008170,5.38092641,wt.Solyc01g008170
146,Ambr,tf2,4,15.40368317,2.569489131,1.284744565,Solyc01g008180,3.945203449,tf2.Solyc01g008180
147,Ambr,wt,3,26.99301092,13.45530449,7.76842367,Solyc01g008180,4.754514005,wt.Solyc01g008180
148,Aother,tf2,4,30.25693816,17.77850182,8.889250912,Solyc01g008180,4.919194097,tf2.Solyc01g008180
149,Aother,wt,5,30.46987123,8.364650894,3.740785601,Solyc01g008180,4.929311498,wt.Solyc01g008180
150,Bmbr,tf2,3,17.99607414,11.11004085,6.414385076,Solyc01g008180,4.169610311,tf2.Solyc01g008180
151,Bmbr,wt,4,16.94395461,6.93675001,3.468375005,Solyc01g008180,4.082698725,wt.Solyc01g008180
152,Bother,tf2,4,32.51851711,9.790555123,4.895277562,Solyc01g008180,5.023189565,tf2.Solyc01g008180
153,Bother,wt,4,27.66700741,9.657072916,4.828536458,Solyc01g008180,4.790094699,wt.Solyc01g008180
154,Cmbr,tf2,4,23.82211578,18.32097503,9.160487513,Solyc01g008180,4.574229648,tf2.Solyc01g008180
155,Cmbr,wt,6,21.25791856,11.32310569,4.622638542,Solyc01g008180,4.409928439,wt.Solyc01g008180
156,Cother,tf2,4,39.99190135,8.27444722,4.13722361,Solyc01g008180,5.321635968,tf2.Solyc01g008180
157,Cother,wt,3,44.22910957,17.63064038,10.17905497,Solyc01g008180,5.466924293,wt.Solyc01g008180
