"ITAG","cluster"
"Solyc02g063546",1
"Solyc02g064690",3
"Solyc02g064800",3
"Solyc02g064802",3
"Solyc02g065020",3
"Solyc02g065060",1
"Solyc02g065480",5
"Solyc02g065500",5
"Solyc02g065610",3
"Solyc02g067120",1
"Solyc02g067800",3
"Solyc02g068040",1
"Solyc02g068610",6
"Solyc02g070460",2
"Solyc02g071365",6
"Solyc02g071610",1
"Solyc02g071700",2
"Solyc02g071730",1
"Solyc02g071980",3
"Solyc02g072000",2
"Solyc02g072160",2
"Solyc02g072470",4
"Solyc02g076690",1
"Solyc02g077010",6
"Solyc02g077230",5
"Solyc02g077270",3
"Solyc02g077900",3
"Solyc02g078150",1
"Solyc02g078285",3
"Solyc02g078700",2
"Solyc02g078780",5
"Solyc02g079050",5
"Solyc02g079550",4
"Solyc02g079640",3
"Solyc02g079710",6
"Solyc02g079760",1
"Solyc02g080050",5
"Solyc02g080120",1
"Solyc02g080200",6
"Solyc02g080240",3
"Solyc02g080640",1
"Solyc02g080880",1
"Solyc02g080890",4
"Solyc02g080900",1
"Solyc02g081060",3
"Solyc02g081080",6
"Solyc02g081200",4
"Solyc02g081890",4
"Solyc02g082315",3
"Solyc02g082545",3
"Solyc02g082840",1
"Solyc02g083220",3
"Solyc02g083740",3
"Solyc02g083860",4
"Solyc02g084400",3
"Solyc02g084800",3
"Solyc02g084910",6
"Solyc02g085620",3
"Solyc02g086460",2
"Solyc02g086467",2
"Solyc02g086840",4
"Solyc02g086860",4
"Solyc02g087070",6
"Solyc02g087540",3
"Solyc02g088425",3
"Solyc02g088630",2
"Solyc02g088820",5
"Solyc02g089040",4
"Solyc02g089050",4
"Solyc02g089340",5
"Solyc02g089520",3
"Solyc02g089515",3
"Solyc02g089630",6
"Solyc02g089660",6
"Solyc02g089670",3
"Solyc02g089770",6
"Solyc02g089790",3
