"ITAG","cluster"
"Solyc01g090800",20
"Solyc01g090900",11
"Solyc01g090970",31
"Solyc01g091000",35
"Solyc01g091130",36
"Solyc01g091170",27
"Solyc01g091165",27
"Solyc01g091650",11
"Solyc01g091700",26
"Solyc01g091705",18
"Solyc01g091770",16
"Solyc01g091800",18
"Solyc01g093975",24
"Solyc01g094040",11
"Solyc01g094170",1
"Solyc01g094180",18
"Solyc01g094725",18
"Solyc01g094890",18
"Solyc01g095070",21
"Solyc01g095140",28
"Solyc01g095150",28
"Solyc01g095160",11
"Solyc01g095370",14
"Solyc01g095440",11
"Solyc01g095530",19
"Solyc01g095680",12
"Solyc01g095700",19
"Solyc01g096060",11
"Solyc01g096090",32
"Solyc01g096120",16
"Solyc01g096130",11
"Solyc01g096150",16
"Solyc01g096160",10
"Solyc01g096175",11
"Solyc01g096180",11
"Solyc01g096185",11
"Solyc01g096193",18
"Solyc01g096197",11
"Solyc01g096200",11
"Solyc01g096210",11
"Solyc01g096220",8
"Solyc01g096250",16
"Solyc01g096255",11
"Solyc01g096260",16
"Solyc01g096280",16
"Solyc01g096300",10
"Solyc01g096320",10
"Solyc01g096330",10
"Solyc01g096340",10
"Solyc01g096400",11
"Solyc01g096410",11
"Solyc01g096420",10
"Solyc01g096430",10
"Solyc01g096435",10
"Solyc01g096440",11
"Solyc01g096450",13
"Solyc01g096510",11
"Solyc01g096520",11
"Solyc01g096620",11
"Solyc01g096630",18
"Solyc01g096650",18
"Solyc01g096670",18
"Solyc01g096690",18
"Solyc01g096720",18
"Solyc01g096930",11
"Solyc01g096980",11
"Solyc01g097070",18
"Solyc01g097095",18
"Solyc01g097170",11
"Solyc01g097230",11
"Solyc01g097290",25
"Solyc01g097330",11
"Solyc01g097340",25
"Solyc01g097700",18
"Solyc01g097710",18
"Solyc01g097880",11
"Solyc01g098190",13
"Solyc01g098410",31
"Solyc01g098450",3
"Solyc01g098500",25
"Solyc01g098520",25
"Solyc01g098560",19
"Solyc01g099000",11
"Solyc01g100105",11
"Solyc07g021730",10
"Solyc01g100880",26
"Solyc01g100930",19
"Solyc01g101080",18
"Solyc01g101170",18
"Solyc01g102285",2
"Solyc01g102310",25
"Solyc01g102340",26
"Solyc01g103450",29
"Solyc01g103530",32
"Solyc01g103780",25
"Solyc01g103868",22
"Solyc01g103970",11
"Solyc01g104400",2
"Solyc01g104433",11
"Solyc01g104437",2
"Solyc01g104438",2
"Solyc01g104610",18
"Solyc01g104680",29
"Solyc01g104930",1
"Solyc01g104950",27
"Solyc01g105165",12
"Solyc01g105350",11
"Solyc01g105360",28
"Solyc01g105493",11
